iso3,year,unemployment_youth
ZWE,1994,10.962
AFE,1994,14.38267539
AFW,1994,8.554603485
ARB,1994,27.14366917
CSS,1994,28.32524587
CEB,1994,25.23388011
EAR,1994,12.70108772
EAS,1994,6.523265764
EAP,1994,6.484899129
TEA,1994,6.494069163
EMU,1994,25.129539
ECS,1994,19.7313389
ECA,1994,14.24279424
TEC,1994,17.2352633
EUU,1994,24.83528481
FCS,1994,9.818555005
HPC,1994,9.113734007
HIC,1994,16.68244104
IBD,1994,11.45257366
IBT,1994,10.8333313
IDB,1994,7.074727936
IDX,1994,9.240601774
IDA,1994,8.537492058
LTE,1994,8.820891789
LCN,1994,12.11851114
LAC,1994,11.69202231
TLA,1994,11.93428144
LDC,1994,9.027435387
LMY,1994,10.40568593
LIC,1994,9.064646632
LMC,1994,11.25571667
MEA,1994,25.69096061
MNA,1994,26.10280286
TMN,1994,26.20623785
MIC,1994,10.51260033
NAC,1994,12.83656653
OED,1994,15.47064389
OSS,1994,21.53800206
PSS,1994,8.222416868
PST,1994,15.35302789
PRE,1994,10.66827264
SST,1994,21.01193589
SAS,1994,10.65221198
TSA,1994,10.65221198
SSF,1994,12.04291029
SSA,1994,12.04291029
TSS,1994,12.04291029
UMC,1994,9.868357994
WLD,1994,11.51366633
DZA,1995,51.109
ARG,1995,40.638
AFG,1995,10.227
ALB,1995,23.242
AGO,1995,38.806
ARM,1995,7.237
AUS,1995,15.193
AUT,1995,5.913
AZE,1995,13.42
BHS,1995,20.979
BHR,1995,3.834
BGD,1995,6.251
BRB,1995,37.907
BLR,1995,31.185
BEL,1995,21.555
BLZ,1995,23.96
BEN,1995,1.451
BTN,1995,4.366
BOL,1995,4.414
BIH,1995,42.092
BWA,1995,36.298
BRA,1995,13.207
BRN,1995,15.478
BGR,1995,22.043
BFA,1995,3.951
BDI,1995,3.846
CPV,1995,21.662
KHM,1995,1.426
CMR,1995,12.741
CAN,1995,14.843
CAF,1995,11.186
TCD,1995,1.022
CHI,1995,15.355
CHL,1995,10.755
CHN,1995,5.924
COL,1995,16.395
COM,1995,9.935
COD,1995,5.275
COG,1995,39.428
CRI,1995,11.711
CIV,1995,5.526
HRV,1995,30.922
CUB,1995,15.092
CYP,1995,4.956
CZE,1995,7.881
DNK,1995,9.926
DJI,1995,59.978
DOM,1995,12.051
ECU,1995,9.339
EGY,1995,30.858
SLV,1995,13.148
GNQ,1995,15.2
ERI,1995,9.686
EST,1995,13.949
SWZ,1995,44.239
ETH,1995,4.466
FJI,1995,10.68
FIN,1995,40.635
FRA,1995,26.775
PYF,1995,32.85
GAB,1995,40.637
GMB,1995,14.457
GEO,1995,13.266
DEU,1995,8.464
GHA,1995,10.075
GRC,1995,30.556
GUM,1995,18.002
GTM,1995,4.27
GIN,1995,5.567
GNB,1995,3.951
GUY,1995,26.158
HTI,1995,17.589
HND,1995,5.501
HKG,1995,6.841
HUN,1995,18.653
ISL,1995,11.756
IND,1995,12.124
IDN,1995,14.013
IRN,1995,20.04
IRQ,1995,15.691
IRL,1995,18.421
ISR,1995,14.907
ITA,1995,33.516
JAM,1995,15.225
JPN,1995,6.103
JOR,1995,31.771
KAZ,1995,19.357
KEN,1995,6.501
PRK,1995,5.874
KOR,1995,6.155
KWT,1995,2.893
KGZ,1995,2.59
LAO,1995,5.501
LVA,1995,34.664
LBN,1995,20.546
LSO,1995,21.836
LBR,1995,3.349
LBY,1995,45.885
LTU,1995,31.204
LUX,1995,7.279
MAC,1995,5.742
MDG,1995,8.614
MWI,1995,6.672
MYS,1995,10.288
MDV,1995,1.872
MLI,1995,2.161
MLT,1995,11.66
MRT,1995,14.552
MUS,1995,23.743
MEX,1995,11.61
MDA,1995,9.912
MNG,1995,8.478
MNE,1995,55.087
MAR,1995,20.534
MOZ,1995,5.825
MMR,1995,1.365
NAM,1995,39.554
NPL,1995,18.976
NLD,1995,12.133
NCL,1995,44.726
NZL,1995,12.287
NIC,1995,11.531
NER,1995,3.127
NGA,1995,10.048
MKD,1995,64.202
NOR,1995,18.973
OMN,1995,13.724
PAK,1995,0.973
PAN,1995,13.653
PNG,1995,4.9
PRY,1995,6.722
PER,1995,5.853
PHL,1995,9.398
POL,1995,30.689
PRT,1995,16.064
PRI,1995,26.504
QAT,1995,2.66
ROU,1995,21.049
RUS,1995,18.741
RWA,1995,16.334
WSM,1995,6.889
STP,1995,20.972
SAU,1995,27.418
SEN,1995,2.946
SRB,1995,29.627
SLE,1995,7.646
SGP,1995,7.084
SVK,1995,24.736
SVN,1995,18.759
SLB,1995,3.25
SOM,1995,35.565
ZAF,1995,35.815
SSD,1995,18.327
ESP,1995,41.717
LKA,1995,34.561
LCA,1995,25.575
VCT,1995,37.494
SDN,1995,26.915
SUR,1995,26.599
SWE,1995,19.218
CHE,1995,4.654
SYR,1995,13.043
TJK,1995,21.879
TZA,1995,6.308
THA,1995,2.41
TLS,1995,9.947
TGO,1995,7.035
TON,1995,5.131
TTO,1995,30.751
TUN,1995,31.578
TUR,1995,15.545
TKM,1995,16.082
UGA,1995,4.904
UKR,1995,10.493
ARE,1995,4.29
GBR,1995,15.546
USA,1995,12.142
URY,1995,24.951
UZB,1995,16.369
VUT,1995,13.907
VEN,1995,16.906
VNM,1995,3.987
VIR,1995,25.472
PSE,1995,15.449
YEM,1995,17.257
ZMB,1995,30.095
ZWE,1995,12.391
AFE,1995,14.14432447
AFW,1995,8.570171395
ARB,1995,27.77876414
CSS,1995,27.11376117
CEB,1995,23.97519986
EAR,1995,13.37871914
EAS,1995,6.817306638
EAP,1995,6.805249976
TEA,1995,6.816903387
EMU,1995,24.84393907
ECS,1995,20.4555986
ECA,1995,16.58996623
TEC,1995,18.9576995
EUU,1995,24.21238879
FCS,1995,10.46168918
HPC,1995,8.891403634
HIC,1995,16.58864013
IBD,1995,12.26406402
IBT,1995,11.45243211
IDB,1995,7.216288487
IDX,1995,9.162265453
IDA,1995,8.528720205
LTE,1995,9.310540797
LCN,1995,14.34316242
LAC,1995,14.08381954
TLA,1995,14.24053513
LDC,1995,8.9358483970000009
LMY,1995,11.00090138
LIC,1995,8.975269707
LMC,1995,11.38755371
MEA,1995,26.00636873
MNA,1995,26.5979624
TMN,1995,26.70519128
MIC,1995,11.16607991
NAC,1995,12.40459028
OED,1995,15.58886636
OSS,1995,21.82255915
PSS,1995,8.411911962
PST,1995,15.468940569999999
PRE,1995,10.50590269
SST,1995,21.00386171
SAS,1995,10.85801433
TSA,1995,10.85801433
SSF,1995,11.89639864
SSA,1995,11.89639864
TSS,1995,11.89639864
UMC,1995,10.96732481
WLD,1995,11.99022482
DZA,1996,45.95
ARG,1996,36.979
AFG,1996,10.209
ALB,1996,22.209
AGO,1996,37.27
ARM,1996,9.987
AUS,1996,15.64
AUT,1996,6.846
AZE,1996,15.137
BHS,1996,24.129
BHR,1996,4.019
BGD,1996,6.433
BRB,1996,27.941
BLR,1996,43.052
BEL,1996,20.503
BLZ,1996,26.546
BEN,1996,1.377
BTN,1996,4.361
BOL,1996,3.949
BIH,1996,43.312
BWA,1996,36.359
BRA,1996,14.569
BRN,1996,15.652
BGR,1996,24.998
BFA,1996,3.86
BDI,1996,3.848
CPV,1996,21.677
KHM,1996,1.431
CMR,1996,12.16
CAN,1996,15.414
CAF,1996,11.113
TCD,1996,1.012
CHI,1996,15.37
CHL,1996,17.852
CHN,1996,6.262
COL,1996,21.865
COM,1996,10.095
COD,1996,5.151
COG,1996,39.296
CRI,1996,12.259
CIV,1996,5.5
HRV,1996,28.875
CUB,1996,14.764
CYP,1996,5.755
CZE,1996,7.155
DNK,1996,10.587
DJI,1996,60.281
DOM,1996,12.202
ECU,1996,9.385
EGY,1996,25.47
SLV,1996,13.223
GNQ,1996,15.308
ERI,1996,9.612
EST,1996,15.774
SWZ,1996,44.927
ETH,1996,4.649
FJI,1996,10.656
FIN,1996,41.187
FRA,1996,27.265
PYF,1996,32.929
GAB,1996,39.614
GMB,1996,14.512
GEO,1996,20.132
DEU,1996,9.629
GHA,1996,10.975
GRC,1996,31.875
GUM,1996,19.095
GTM,1996,4.313
GIN,1996,5.583
GNB,1996,3.865
GUY,1996,25.756
HTI,1996,17.262
HND,1996,7.346
HKG,1996,6.624
HUN,1996,19.34
ISL,1996,8.37
IND,1996,12.397
IDN,1996,14.951
IRN,1996,18.517
IRQ,1996,15.878
IRL,1996,17.687
ISR,1996,13.536
ITA,1996,34.817
JAM,1996,15.887
JPN,1996,6.737
JOR,1996,29.957
KAZ,1996,22.918
KEN,1996,6.415
PRK,1996,6.02
