iso3,year,disaster_deaths_per_100k
HRV,2014,0.070028536
HRV,2015,0
HRV,2018,0
HRV,2019,0.024214547
HRV,2022,18.137333
HRV,2023,0.024946272
HRV,1996,0
HRV,2020,0.21967979
HRV,2017,0
HRV,1997,0
HRV,2007,0.2723842
CUB,1993,0.470439186
CUB,1998,0.05437855
CUB,2000,0.01800861
CUB,2001,0.04488681
CUB,2004,0.035633802
CUB,2015,0.026455287
CUB,1990,0.03764111
CUB,1992,0
CUB,1994,0.128591329
CUB,1995,0.018303774
CUB,1996,0.027364682
CUB,1997,0
CUB,2002,0.026857525
CUB,2003,0
CUB,2006,0.017760986
CUB,2007,0.008873201
CUB,2008,0.06207541
CUB,2012,0.123792009
CUB,2013,0.017665375
CUB,2022,0.08026972
CUB,2023,0.053598
CUB,1999,0.03613339
CUB,2005,0.17783922
CUB,2016,0
CUB,2017,0.08821139
CUB,2018,0.07944745
CUB,2019,0.053018995
CUB,2020,0
CUB,2021,0
CYP,1991,0
CYP,2000,0.5272938
CYP,2024,0
CYP,1995,0.23190583
CYP,2003,0
CYP,2004,0
CYP,1998,5.685129
CYP,2007,0.37248284
CYP,2022,8.070367
CYP,2021,0.32149354
CZE,1996,0.009712837
CZE,1997,0.28212747
CZE,1998,0.05845767
CZE,2000,0
CZE,2002,0.19534742
CZE,2005,0.029182532
CZE,2006,0.1843797
CZE,2009,0.143933008
CZE,2010,0.21978547
CZE,2013,0.1426595
CZE,2021,0.057084426
CZE,2023,0
CZE,2007,0.038692836
CZE,2008,0.019270448
CZE,2017,0
CZE,2020,0.009495819
CZE,2022,2.668193964
CZE,2003,4.0788293
CZE,2012,0.3044411
CZE,2018,0.028477594
COD,2022,0.22522928
COD,1990,0.063911
COD,1994,0.09394877
COD,1997,0
COD,1999,0.004234844
COD,2001,0.123736042
COD,2002,0.464557375
COD,2003,0.0545055
COD,2006,0.006851469
COD,2007,0.053077303
COD,2008,0.057831585
COD,2009,0
COD,2010,0.081336009
COD,2011,0
COD,2012,0.001408493
COD,2014,0.217003639
COD,2015,0.06992393
COD,2016,0.061401695
COD,2017,0.331026544
COD,2018,0.05856189
COD,2019,0.088980939
COD,2020,0.089388445
COD,2023,3.01771483
COD,1992,0.023478894
COD,2005,0.024756746
COD,2024,0.001893489
COD,2021,0.033370137
COD,1989,0
DNK,1992,0
DNK,1990,0.019437758
DNK,1999,0.13158251
DNK,2002,0.018591853
DNK,2005,0.07357927
DNK,2007,0
DNK,2010,0
DNK,2013,0.03555307
DNK,2022,4.301068871
DJI,1996,0
DJI,2001,0
DJI,2005,0
DJI,2006,0
DJI,2007,0
DJI,2008,0
DJI,2009,0
DJI,2010,0
DJI,2011,0
DJI,2022,0
DJI,1989,1.9189659
DJI,1993,0
DJI,1994,23.256485
DJI,2004,6.231824
DJI,2019,1.0242095
DJI,2020,0.7338359
DJI,1995,0
DJI,2018,0.18917824
DMA,2004,0
DMA,1989,0
DMA,1995,2.8891714
DMA,1999,0
DMA,2007,2.9074416
DMA,2011,0
DMA,2015,42.84062
DMA,2017,90.88069
DOM,1991,0.13739264
DOM,1993,0.39598298
DOM,1996,0.336981264
DOM,2002,0.034109887
DOM,2003,0.235429776
DOM,2004,7.77385268
DOM,2005,0.130936184
DOM,2007,1.86126478
DOM,2009,0.07255344
DOM,2010,0.07160571
DOM,2011,0.11106912
DOM,2012,0.07975368
DOM,2013,0
DOM,2014,0.009725625
DOM,2015,0.01921999
DOM,2016,0.19947588
DOM,2018,0
DOM,2022,0.01781131
DOM,2023,0.335304856
DOM,1989,0
DOM,1995,0.13977565
DOM,1998,4.189746
DOM,2001,0.034605917
DOM,2008,0.13651226
DOM,2017,0.046960495
DOM,2020,0.0545471
DOM,2021,0.017989052
TLS,2007,0.0980999
TLS,2016,0
TLS,2001,0.111981705
TLS,2003,0.32372063
TLS,2004,0
TLS,2008,0
TLS,2020,0.23076959
TLS,2015,0
TLS,2006,0
TLS,2021,3.1038408
ECU,1997,1.1428248
ECU,2009,0.02034896
ECU,2010,0.093398206
ECU,2013,0.15264274
ECU,1989,0.3427948
ECU,1992,0.20157185
ECU,1998,0.909859085
ECU,2000,0.61774783
ECU,2001,0.4515192
ECU,2002,0.6962181
ECU,2003,0
ECU,2006,0.14990295
ECU,2008,0.28282103
ECU,2011,0.04593859
ECU,2012,0.21958314
ECU,2015,0.074092805
ECU,2016,4.148522598
ECU,2019,0.092252297
ECU,2020,0
ECU,2021,0.033712152
ECU,2022,0.427753947
ECU,2023,0.65418791
ECU,2024,0.032648854
ECU,1990,0.03827808
ECU,1995,0.02594778
ECU,1996,0.22929502
ECU,2014,0.018799353
ECU,1999,0
ECU,1994,0
ECU,1993,4.1319222
EGY,1991,0.001706163
EGY,1994,0.95578164
EGY,1995,0.07636335
EGY,1996,0.05185678
EGY,1997,0.032838893
EGY,2002,0.024195578
EGY,2010,0.066473804
EGY,2020,0.037221376
EGY,2021,0.002745689
EGY,1992,0.92016643
EGY,2004,0.016769342
EGY,2015,0.14428421
EGY,2016,0.026056273
EGY,2000,0.004203366
EGY,1993,0.05539065
EGY,2008,0.116882645
SLV,1994,0
SLV,1998,8.071251
SLV,2001,19.355047
SLV,2009,4.514724
SLV,2015,0.208631833
SLV,2016,0
SLV,2018,0.06373141
SLV,2019,0.015923005
SLV,1989,0.18972333
SLV,1992,0.03602169
SLV,1995,0.13917398
SLV,1999,0.118166156
SLV,2000,0.050348394
SLV,2002,0.016635397
SLV,2005,1.987473232
SLV,2007,0.033089958
SLV,2008,0.49438804
SLV,2011,0.57027835
SLV,2021,0.079187036
SLV,2006,0.016571548
SLV,1996,0.20699856
SLV,1997,0.06846224
SLV,2010,0.2780486
SLV,2017,0.15957461
SLV,2020,1.19185076
SLV,2022,0.17360035
SLV,2023,0.04713316
SLV,2013,0
SLV,1993,0.3906948
ERI,1993,0.15140626
ERI,1999,0
ERI,2000,0
ERI,2001,0
ERI,2002,0
ERI,2003,0
ERI,2008,0
ERI,2004,0
EST,2005,0
EST,2006,0.22276494
EST,2012,0.07560396
EST,2018,0.5294423
EST,2022,12.59366
SWZ,1990,0
SWZ,1991,0
SWZ,1992,0
SWZ,1993,0
SWZ,1994,0
SWZ,1995,0
SWZ,2001,0
SWZ,2002,0
SWZ,2003,0
SWZ,2004,0
SWZ,2007,0.1844993
SWZ,2016,0
SWZ,2017,0
SWZ,2019,0
SWZ,2000,0
SWZ,2008,0
SWZ,2014,0.9770205
SWZ,2005,0
SWZ,2006,0.092786156
SWZ,2021,0
SWZ,2022,0
ETH,1989,0
ETH,1990,0
ETH,1991,0.026032574
