iso3,year,gdp_growth
BHR,2022,4.89150020694356
BGD,2022,7.09982877575158
BRB,2022,13.4808615694709
BLR,2022,-4.65824489149375
BEL,2022,3.01472197492703
BLZ,2022,8.73431143782066
BEN,2022,6.25324491401346
BMU,2022,6.43113399633694
BTN,2022,5.21386783786224
BOL,2022,3.60568042633635
BIH,2022,4.22681101095546
BWA,2022,5.48602817797183
BRA,2022,3.01669435393015
VGB,2022,..
BRN,2022,-1.62833154515108
BGR,2022,3.92643222124569
BFA,2022,1.77791543778547
BDI,2022,1.84899943948213
CPV,2022,17.439079439153
KHM,2022,5.2398102893046
CMR,2022,3.58279631926052
CAN,2022,3.81986633913397
CYM,2022,5.15632991974057
CAF,2022,0.502110003427035
TCD,2022,2.80434074839411
CHI,2022,7.80517874537352
CHL,2022,2.05874008095333
CHN,2022,2.98908408613474
COL,2022,7.2888838865514
COM,2022,2.38767848524202
COD,2022,8.92444762563109
COG,2022,1.47535613247133
CRI,2022,4.55149177958398
CIV,2022,6.2178509127107
HRV,2022,7.02722588804099
CUB,2022,1.77485399483382
CUW,2022,7.89999999999999
CYP,2022,5.05812800841309
CZE,2022,2.35100353961535
DNK,2022,2.73117445421431
DJI,2022,3.72857647005031
DMA,2022,5.58354626264079
DOM,2022,4.85832403582451
ECU,2022,6.18613907258741
EGY,2022,6.58784560886967
SLV,2022,2.79955216943868
GNQ,2022,3.71601059354751
ERI,2022,..
EST,2022,-0.461002668410416
SWZ,2022,0.475769339744119
ETH,2022,5.32117628383672
FRO,2022,5.39848038908718
FJI,2022,20.0164641552219
FIN,2022,1.33546730512326
FRA,2022,2.45475817660707
PYF,2022,4.46607459000271
GAB,2022,2.96774164377373
GMB,2022,4.91782130902605
GEO,2022,10.9585321385624
DEU,2022,1.80620896724351
GHA,2022,3.81750462109567
GIB,2022,..
GRC,2022,5.55728707963308
GRL,2022,..
GRD,2022,7.32074061551874
GUM,2022,5.09986426216793
GTM,2022,4.11800416923388
GIN,2022,4.69999999984769
GNB,2022,4.19999023152431
GUY,2022,63.4398643665041
HTI,2022,-1.68198396897978
HND,2022,4.14356194013767
HKG,2022,-3.68075292201146
HUN,2022,4.58340767295068
ISL,2022,8.88130774528271
IND,2022,6.98703932576051
IDN,2022,5.30741934775764
IRN,2022,3.77663140152906
IRQ,2022,7.63981140220797
IRL,2022,9.43302211023355
IMN,2022,..
ISR,2022,6.83288663572093
ITA,2022,3.98589744251659
JAM,2022,5.22151985159613
JPN,2022,0.954736937781391
JOR,2022,2.42807330466898
KAZ,2022,3.19999999970734
KEN,2022,4.8466348557707
KIR,2022,3.85756676557864
PRK,2022,..
KOR,2022,2.61267219187226
XKX,2022,4.27849850808495
KWT,2022,6.13825278548057
KGZ,2022,8.96750520041391
LAO,2022,2.70742652643155
LVA,2022,2.95473177143623
LBN,2022,-0.621678970663112
LSO,2022,1.28550412458897
LBR,2022,4.80810517290655
LBY,2022,1.33614809684626
LIE,2022,..
LTU,2022,2.44017546498974
LUX,2022,1.38018589083207
MAC,2022,-21.4019505820285
MDG,2022,3.79619908930115
MWI,2022,0.923449719368733
MYS,2022,8.65034422372288
MDV,2022,13.9066763800888
MLI,2022,3.47495171106735
MLT,2022,8.07553911825327
MHL,2022,-0.675525738649768
MRT,2022,6.38702309577425
MUS,2022,8.87988518971193
MEX,2022,3.94899999903839
FSM,2022,-0.778210116731515
MDA,2022,-5.01548231924089
MCO,2022,11.0968262747971
MNG,2022,5.0327096366527
MNE,2022,6.40668032879275
MAR,2022,1.25854398420971
MOZ,2022,4.35980020115213
MMR,2022,4.0374934360085
NAM,2022,5.34966408559102
NRU,2022,2.15827338129438
NPL,2022,5.63131455871746
NLD,2022,4.32891831787197
NCL,2022,3.49999999631376
NZL,2022,2.7748426484212
NIC,2022,3.75228475736668
NER,2022,11.9000000000277
NGA,2022,3.25168140827093
MKD,2022,2.22170527084103
MNP,2022,..
NOR,2022,3.00563516076298
OMN,2022,4.31125350906991
PAK,2022,4.767539530847
PLW,2022,-0.362288565445908
PAN,2022,10.8093661181786
PNG,2022,5.16505132632446
PRY,2022,0.176038366132886
